"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.39524702939E+003, +1.47090482607E-002, +0.00000000000E+000
+1.39774859287E+003, +1.46794032726E-002, +0.00000000000E+000
+1.40025015635E+003, +1.47505961480E-002, +0.00000000000E+000
+1.40275171982E+003, +1.48165331957E-002, +0.00000000000E+000
+1.40525328330E+003, +1.49617126993E-002, +0.00000000000E+000
+1.40775484678E+003, +1.50557284749E-002, +0.00000000000E+000
+1.41025641026E+003, +1.49927257184E-002, +0.00000000000E+000
+1.41275797373E+003, +1.51312505543E-002, +0.00000000000E+000
+1.41525953721E+003, +1.53046873095E-002, +0.00000000000E+000
+1.41776110069E+003, +1.53487837950E-002, +0.00000000000E+000
+1.42026266417E+003, +1.55042074779E-002, +0.00000000000E+000
+1.42276422764E+003, +1.54904960467E-002, +0.00000000000E+000
+1.42526579112E+003, +1.55323148424E-002, +0.00000000000E+000
+1.42776735460E+003, +1.56612185682E-002, +0.00000000000E+000
+1.43026891807E+003, +1.57168749130E-002, +0.00000000000E+000
+1.43277048155E+003, +1.57833290027E-002, +0.00000000000E+000
+1.43527204503E+003, +1.58798882055E-002, +0.00000000000E+000
+1.43777360851E+003, +1.59042869137E-002, +0.00000000000E+000
+1.44027517198E+003, +1.59546767416E-002, +0.00000000000E+000
+1.44277673546E+003, +1.59376493139E-002, +0.00000000000E+000
+1.44527829894E+003, +1.59496331555E-002, +0.00000000000E+000
+1.44777986241E+003, +1.60991714805E-002, +0.00000000000E+000
+1.45028142589E+003, +1.61946766247E-002, +0.00000000000E+000
+1.45278298937E+003, +1.61927532070E-002, +0.00000000000E+000
+1.45528455285E+003, +1.63415799368E-002, +0.00000000000E+000
+1.45778611632E+003, +1.63649094100E-002, +0.00000000000E+000
+1.46028767980E+003, +1.64713171449E-002, +0.00000000000E+000
+1.46278924328E+003, +1.64812362488E-002, +0.00000000000E+000
+1.46529080675E+003, +1.65599044715E-002, +0.00000000000E+000
+1.46779237023E+003, +1.67272341823E-002, +0.00000000000E+000
+1.47029393371E+003, +1.68430639771E-002, +0.00000000000E+000
+1.47279549719E+003, +1.70051673330E-002, +0.00000000000E+000
+1.47529706066E+003, +1.70499169719E-002, +0.00000000000E+000
+1.47779862414E+003, +1.71279481373E-002, +0.00000000000E+000
+1.48030018762E+003, +1.71934828505E-002, +0.00000000000E+000
+1.48280175109E+003, +1.72764067608E-002, +0.00000000000E+000
+1.48530331457E+003, +1.72887349742E-002, +0.00000000000E+000
+1.48780487805E+003, +1.73755808371E-002, +0.00000000000E+000
+1.49030644153E+003, +1.75018969208E-002, +0.00000000000E+000
+1.49280800500E+003, +1.76262333179E-002, +0.00000000000E+000
+1.49530956848E+003, +1.77209094399E-002, +0.00000000000E+000
+1.49781113196E+003, +1.76344223119E-002, +0.00000000000E+000
+1.50031269543E+003, +1.77615869746E-002, +0.00000000000E+000
+1.50281425891E+003, +1.79197347533E-002, +0.00000000000E+000
+1.50531582239E+003, +1.81110424569E-002, +0.00000000000E+000
+1.50781738587E+003, +1.80023893786E-002, +0.00000000000E+000
+1.51031894934E+003, +1.81426931160E-002, +0.00000000000E+000
+1.51282051282E+003, +1.83400435141E-002, +0.00000000000E+000
+1.51532207630E+003, +1.82323890471E-002, +0.00000000000E+000
+1.51782363977E+003, +1.84004567687E-002, +0.00000000000E+000
+1.52032520325E+003, +1.83294077079E-002, +0.00000000000E+000
+1.52282676673E+003, +1.84876898365E-002, +0.00000000000E+000
+1.52532833021E+003, +1.86492312798E-002, +0.00000000000E+000
+1.52782989368E+003, +1.87115941824E-002, +0.00000000000E+000
+1.53033145716E+003, +1.88103703245E-002, +0.00000000000E+000
+1.53283302064E+003, +1.89643216495E-002, +0.00000000000E+000
+1.53533458412E+003, +1.90349723033E-002, +0.00000000000E+000
+1.53783614759E+003, +1.90721703031E-002, +0.00000000000E+000
+1.54033771107E+003, +1.91916080294E-002, +0.00000000000E+000
+1.54283927455E+003, +1.93839982642E-002, +0.00000000000E+000
+1.54534083802E+003, +1.94894048782E-002, +0.00000000000E+000
+1.54784240150E+003, +1.95241108689E-002, +0.00000000000E+000
+1.55034396498E+003, +1.96630537227E-002, +0.00000000000E+000
+1.55284552846E+003, +1.97303312235E-002, +0.00000000000E+000
+1.55534709193E+003, +1.98785668021E-002, +0.00000000000E+000
+1.55784865541E+003, +1.98166896918E-002, +0.00000000000E+000
+1.56035021889E+003, +2.00233941346E-002, +0.00000000000E+000
+1.56285178236E+003, +2.03021823779E-002, +0.00000000000E+000
+1.56535334584E+003, +2.02863839236E-002, +0.00000000000E+000
+1.56785490932E+003, +2.03370239268E-002, +0.00000000000E+000
+1.57035647280E+003, +2.04652431119E-002, +0.00000000000E+000
+1.57285803627E+003, +2.05934783346E-002, +0.00000000000E+000
